Age,Income,CreditScore,LoanAmount,LoanDuration,ExistingLoans,Balance,JobType,MaritalStatus,HomeOwner,Default
59,8712.762116150669,649.2241070253914,16548.71292792137,36,1,9323.864683454776,self-employed,married,1,1
49,37196.95604724401,729.3317734731655,6943.201864783839,48,0,6553.59547420181,employee,married,1,0
35,36416.30737023957,621.2400978683665,20380.77495820704,24,2,-3104.6769855843604,unemployed,single,1,0
63,61452.33454839817,745.4482938665815,20523.8471644314,36,1,4240.545231346072,manager,single,1,0
28,45005.9179534281,638.7773573314105,31037.75022233117,36,2,12870.622489394,manager,divorced,1,0
41,35535.835568249575,607.9873175441392,18295.494820766704,12,1,4497.335396657025,unemployed,married,1,0
59,38648.12888513483,750.0229530352987,19427.210803037233,48,2,1006.5162254480306,manager,divorced,1,0
39,55350.78372441101,575.2997011087922,18343.207893636056,12,2,-2142.0090772209624,manager,single,0,0
43,37231.230051320264,592.0076774540165,10123.066628908538,36,0,-2022.5864497755547,unemployed,married,0,0
31,29527.067003625863,578.3563292226155,23745.81000867595,48,0,7142.319871424006,self-employed,single,1,1
31,35864.467106187,558.5923784410189,14609.776753132954,48,2,3264.509510701021,employee,married,1,0
44,54110.442157340236,662.2427133899511,13649.288032033084,60,2,3596.023433602246,self-employed,divorced,1,0
56,47442.47358396905,608.9652318577198,14056.30532013921,24,2,3281.013346224123,employee,single,0,0
60,40664.01960023671,689.0890477133166,14538.394741669304,60,3,4439.0402021410255,employee,single,1,0
44,42873.08949167245,511.22877315747803,11595.136379330637,60,2,91.34800518780867,unemployed,married,0,0
23,31603.86289606777,560.1961527596467,16506.67029231391,36,1,6264.419974757513,manager,divorced,1,0
42,37090.7589933602,654.1263271621096,14323.740606001898,24,2,-690.8249750267778,manager,married,0,0
22,30050.43517338224,767.5744477762973,13728.034255812381,60,2,1976.630167834985,employee,married,1,0
44,35578.310735503845,680.2801719134017,18428.774683925487,60,1,9043.310790660495,employee,married,0,0
64,60192.673954399375,602.8487524119646,15530.520814977075,48,3,6504.819998900755,unemployed,single,1,0
50,23831.92282934215,530.8374917295762,11121.04837652774,36,0,7742.72738480553,employee,divorced,0,0
58,29669.235003656275,598.1723161275125,9655.21589046895,60,3,13601.553571271545,self-employed,divorced,1,0
22,21185.517055963723,646.6012701965743,15688.811667704082,24,1,4761.38395878201,employee,divorced,1,0
41,17936.368642186026,461.38464847655285,9773.57712674154,12,1,5085.841040099911,self-employed,married,1,0
53,37198.421287070625,552.9303943801668,9269.717735647533,12,1,3942.7161765986375,unemployed,divorced,0,0
32,30735.8622729882,590.9955228282422,9368.662833498798,36,1,3226.343410431411,employee,divorced,0,0
42,66425.33396188289,629.4073114252031,16784.89312734416,12,0,957.6366904248539,manager,single,0,0
64,35757.301807333104,645.6530816201036,23354.79729703456,48,1,5336.2592447834095,unemployed,single,0,0
45,59340.95295145037,601.1305777434292,17434.32453758824,48,1,6420.194426384625,employee,single,1,0
69,54520.0971241095,690.4698545762334,21207.75198699168,24,4,6643.081356771585,employee,married,1,0
47,36865.68767163979,659.9765522424372,14512.086566175241,36,0,5257.455307468313,self-employed,single,1,0
62,71652.03373128435,620.3949372395856,15995.57640487468,36,2,8704.683219279927,employee,divorced,0,0
48,44028.00979697213,701.5020304750345,26570.96968194055,12,0,5117.746762969548,self-employed,single,1,0
36,62695.13899005983,694.9552493208107,20800.934913249064,60,3,3362.7924470641533,self-employed,married,0,0
35,60948.95337371896,533.6961159402982,21559.187119861912,60,1,1292.0472721019287,manager,single,0,0
67,46219.71977657174,647.4377944673084,13150.567587667814,60,3,-1195.9008463117152,manager,divorced,0,0
64,51266.96271708776,721.220842517376,14963.125563432606,24,0,10841.660711745943,manager,single,1,0
23,49361.07122679213,734.5991423441742,17839.65120039924,36,2,2203.781498050677,unemployed,single,0,0
57,22836.078529124377,679.6727032508229,10755.187664271438,12,2,1297.3314268508284,manager,single,0,0
27,40859.35531679524,631.3369150602886,-1542.253427288615,24,2,3329.847086692108,self-employed,married,0,0
